rgi_id,region,hydro_year,calendar_year,dmdt,dhdt
RGI60-06.00236,06,2047,2047,-0.15983130037784576,-2.754319190979004
RGI60-06.00236,06,2048,2048,-0.23324209451675415,-4.026641845703125
RGI60-06.00236,06,2049,2049,-0.21520449221134186,-3.8777222633361816
RGI60-06.00236,06,2050,2050,-0.1845598667860031,-3.3887057304382324
RGI60-06.00236,06,2051,2051,-0.20954428613185883,-3.8538479804992676
RGI60-06.00236,06,2052,2052,-0.16086885333061218,-3.022951364517212
RGI60-06.00236,06,2053,2053,-0.18577097356319427,-3.4961655139923096
RGI60-06.00236,06,2054,2054,-0.19630706310272217,-3.7854819297790527
RGI60-06.00236,06,2055,2055,-0.1415032297372818,-2.7319517135620117
RGI60-06.00236,06,2056,2056,-0.12548518180847168,-2.593641757965088
RGI60-06.00236,06,2057,2057,-0.1440056562423706,-3.098748207092285
RGI60-06.00236,06,2058,2058,-0.05739223584532738,-1.2832099199295044
RGI60-06.00236,06,2059,2059,-0.08465731143951416,-1.8943285942077637
RGI60-06.00236,06,2060,2060,-0.09206182509660721,-2.1253254413604736
RGI60-06.00236,06,2061,2061,-0.103218674659729,-2.385312080383301
RGI60-06.00236,06,2062,2062,-0.0738973468542099,-1.7089042663574219
RGI60-06.00236,06,2063,2063,-0.08132702857255936,-1.8821978569030762
RGI60-06.00236,06,2064,2064,-0.14085416495800018,-3.264399528503418
RGI60-06.00236,06,2065,2065,-0.10070785880088806,-2.4159042835235596
RGI60-06.00236,06,2066,2066,-0.07849692553281784,-1.884531855583191
RGI60-06.00236,06,2067,2067,-0.06427036970853806,-1.5439493656158447
RGI60-06.00236,06,2068,2068,-0.09478288143873215,-2.2791364192962646
RGI60-06.00236,06,2069,2069,-0.056168023496866226,-1.3512643575668335
RGI60-06.00236,06,2070,2070,-0.061138272285461426,-1.471675992012024
RGI60-06.00236,06,2071,2071,-0.12783505022525787,-3.0812323093414307
RGI60-06.00236,06,2072,2072,-0.06387295573949814,-1.5971758365631104
RGI60-06.00236,06,2073,2073,-0.03955962508916855,-0.9895741939544678
RGI60-06.00236,06,2074,2074,-0.05180227756500244,-1.2964915037155151
RGI60-06.00236,06,2075,2075,-0.044243089854717255,-1.1077848672866821
RGI60-06.00236,06,2076,2076,-0.04990435391664505,-1.2501877546310425
RGI60-06.00236,06,2077,2077,-0.07098754495382309,-1.7797150611877441
RGI60-06.00236,06,2078,2078,-0.06414873152971268,-1.6093310117721558
RGI60-06.00236,06,2079,2079,-0.06474694609642029,-1.6871862411499023
RGI60-06.00236,06,2080,2080,-0.05897243693470955,-1.5377171039581299
RGI60-06.00236,06,2081,2081,-0.059464745223522186,-1.5515708923339844
RGI60-06.00236,06,2082,2082,-0.05193964019417763,-1.3559976816177368
RGI60-06.00236,06,2083,2083,-0.09211058914661407,-2.407287120819092
RGI60-06.00236,06,2084,2084,-0.06753196567296982,-1.7662899494171143
RGI60-06.00236,06,2085,2085,-0.07705670595169067,-2.0957796573638916
RGI60-06.00236,06,2086,2086,-0.08244271576404572,-2.2445383071899414
RGI60-06.00236,06,2087,2087,-0.07161931693553925,-1.951554536819458
RGI60-06.00236,06,2088,2088,-0.14667585492134094,-4.0043158531188965
RGI60-06.00236,06,2089,2089,-0.04564608633518219,-1.2967113256454468
RGI60-06.00236,06,2090,2090,-0.05096393823623657,-1.4486801624298096
RGI60-06.00236,06,2091,2091,-0.051295287907123566,-1.4590411186218262
RGI60-06.00236,06,2092,2092,-0.1024799570441246,-2.9189934730529785
RGI60-06.00236,06,2093,2093,-0.08522039651870728,-2.4300270080566406
RGI60-06.00236,06,2094,2094,-0.07923774421215057,-2.350776195526123
RGI60-06.00236,06,2095,2095,-0.1291494369506836,-3.838726282119751
RGI60-06.00236,06,2096,2096,-0.07869353145360947,-2.341521978378296
RGI60-06.00236,06,2097,2097,-0.08639060705900192,-2.6743323802948
RGI60-06.00236,06,2098,2098,-0.047401927411556244,-1.4683878421783447
RGI60-06.00236,06,2099,2099,-0.0780780166387558,-2.421468496322632
RGI60-06.00236,06,2100,2100,-0.05728239566087723,-1.7780165672302246
RGI60-06.00238,06,2001,2001,-0.21593326330184937,-1.518102765083313
RGI60-06.00238,06,2002,2002,-0.08677385747432709,-0.6100956797599792
