rgiid,period,area,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,reg
RGI60-06.00002,2015-01-01_2020-01-01,1897000.0,0.1717,0.6234,325781.0,1182739.0,0.000277,0.001006,0.146,0.5301,1.0,1.0,9.23,3.92,6
RGI60-06.00002,2016-01-01_2017-01-01,1897000.0,0.0736,2.9845,139685.0,5661679.0,0.000119,0.004812,0.0626,2.5369,1.0,1.0,4.35,1.0,6
RGI60-06.00002,2016-01-01_2018-01-01,1897000.0,0.1302,1.5487,247032.0,2937960.0,0.00021,0.002497,0.1107,1.3165,1.0,1.0,6.25,1.97,6
RGI60-06.00002,2016-01-01_2020-01-01,1897000.0,0.199,0.781,377416.0,1481673.0,0.000321,0.00126,0.1691,0.6641,1.0,1.0,8.07,3.01,6
RGI60-06.00002,2017-01-01_2018-01-01,1897000.0,0.1868,3.1071,354379.0,5894205.0,0.000301,0.00501,0.1588,2.6411,1.0,1.0,1.9,0.97,6
RGI60-06.00002,2018-01-01_2019-01-01,1897000.0,0.2543,3.1276,482342.0,5933019.0,0.00041,0.005043,0.2161,2.6585,1.0,1.0,0.04,0.04,6
RGI60-06.00002,2018-01-01_2020-01-01,1897000.0,0.2677,1.6206,507801.0,3074455.0,0.000432,0.002613,0.2275,1.3777,1.0,1.0,1.82,1.04,6
RGI60-06.00002,2019-01-01_2020-01-01,1897000.0,0.2811,3.1538,533260.0,5982862.0,0.000453,0.005086,0.2389,2.6809,1.0,1.0,1.78,1.0,6
RGI60-06.00003,2000-01-01_2001-01-01,751000.0,-0.9672,3.4522,-726388.0,2593879.0,-0.000617,0.002205,-0.8221,2.9378,1.0,1.0,0.78,0.78,6
RGI60-06.00003,2000-01-01_2002-01-01,751000.0,-1.045,1.6965,-784818.0,1277106.0,-0.000667,0.001087,-0.8883,1.4502,1.0,1.0,1.78,1.78,6
RGI60-06.00003,2000-01-01_2004-01-01,751000.0,-0.9055,0.8452,-680029.0,639284.0,-0.000578,0.000545,-0.7697,0.7307,1.0,1.0,6.96,3.78,6
RGI60-06.00003,2000-01-01_2005-01-01,751000.0,-0.8317,0.6817,-624612.0,516708.0,-0.000531,0.000441,-0.707,0.5922,1.0,1.0,7.2,4.01,6
RGI60-06.00003,2000-01-01_2010-01-01,751000.0,-0.6348,0.3467,-476759.0,265784.0,-0.000405,0.000228,-0.5396,0.3092,1.0,1.0,9.8,6.42,6
RGI60-06.00003,2000-01-01_2020-01-01,751000.0,-0.2092,0.1752,-157104.0,132772.0,-0.000134,0.000113,-0.1778,0.1521,1.0,1.0,31.36,15.24,6
RGI60-06.00003,2001-01-01_2002-01-01,751000.0,-1.1228,3.3496,-843248.0,2517299.0,-0.000717,0.00214,-0.9544,2.8519,1.0,1.0,1.0,1.0,6
RGI60-06.00003,2002-01-01_2003-01-01,751000.0,-0.943,3.2696,-708218.0,2456759.0,-0.000602,0.002089,-0.8016,2.7826,1.0,1.0,2.86,1.0,6
RGI60-06.00003,2002-01-01_2004-01-01,751000.0,-0.766,1.638,-575241.0,1231819.0,-0.000489,0.001048,-0.6511,1.3969,1.0,1.0,5.18,2.0,6
RGI60-06.00003,2003-01-01_2004-01-01,751000.0,-0.5889,3.257,-442263.0,2446483.0,-0.000376,0.00208,-0.5006,2.7698,1.0,1.0,2.33,1.0,6
RGI60-06.00003,2004-01-01_2005-01-01,751000.0,-0.5365,3.2922,-402943.0,2472822.0,-0.000343,0.002102,-0.4561,2.7994,1.0,1.0,0.24,0.24,6
RGI60-06.00003,2004-01-01_2006-01-01,751000.0,-0.5046,1.6803,-378990.0,1262621.0,-0.000322,0.001073,-0.4289,1.4302,1.0,1.0,1.09,1.09,6
RGI60-06.00003,2004-01-01_2008-01-01,751000.0,-0.4361,0.8324,-327542.0,626198.0,-0.000278,0.000533,-0.3707,0.7104,1.0,1.0,2.34,2.16,6
RGI60-06.00003,2005-01-01_2006-01-01,751000.0,-0.4728,3.3886,-355036.0,2545120.0,-0.000302,0.002163,-0.4018,2.8811,1.0,1.0,0.86,0.86,6
RGI60-06.00003,2005-01-01_2010-01-01,751000.0,-0.438,0.6762,-328906.0,509140.0,-0.00028,0.000433,-0.3723,0.5784,1.0,1.0,2.61,2.41,6
RGI60-06.00003,2006-01-01_2007-01-01,751000.0,-0.3105,3.3909,-233190.0,2546694.0,-0.000198,0.002165,-0.2639,2.8826,1.0,1.0,0.07,0.07,6
RGI60-06.00003,2006-01-01_2008-01-01,751000.0,-0.3676,1.7125,-276095.0,1286432.0,-0.000235,0.001094,-0.3125,1.4566,1.0,1.0,1.25,1.07,6
RGI60-06.00003,2007-01-01_2008-01-01,751000.0,-0.4248,3.3601,-319000.0,2523719.0,-0.000271,0.002145,-0.3611,2.8568,1.0,1.0,1.18,1.0,6
RGI60-06.00003,2008-01-01_2009-01-01,751000.0,-0.5714,3.4764,-429102.0,2611242.0,-0.000365,0.00222,-0.4857,2.9562,1.0,1.0,0.5,0.49,6
RGI60-06.00003,2008-01-01_2010-01-01,751000.0,-0.4909,1.7087,-368653.0,1283884.0,-0.000313,0.001092,-0.4173,1.4542,1.0,1.0,0.5,0.49,6
RGI60-06.00003,2008-01-01_2012-01-01,751000.0,-0.3004,0.8285,-225608.0,622737.0,-0.000192,0.000529,-0.2553,0.7056,1.0,1.0,3.46,2.3,6
RGI60-06.00003,2009-01-01_2010-01-01,751000.0,-0.4104,3.4988,-308204.0,2627809.0,-0.000262,0.002234,-0.3488,2.9746,1.0,1.0,0.0,0.0,6
RGI60-06.00003,2010-01-01_2011-01-01,751000.0,-0.2325,3.3496,-174638.0,2515606.0,-0.000148,0.002138,-0.1977,2.8473,1.0,1.0,0.97,0.82,6
RGI60-06.00003,2010-01-01_2012-01-01,751000.0,-0.1099,1.6688,-82563.0,1253287.0,-7e-05,0.001065,-0.0934,1.4186,1.0,1.0,2.96,1.82,6
RGI60-06.00003,2010-01-01_2015-01-01,751000.0,0.0524,0.6628,39375.0,497772.0,3.3e-05,0.000423,0.0446,0.5634,1.0,1.0,8.86,4.82,6
RGI60-06.00003,2010-01-01_2020-01-01,751000.0,0.2164,0.3478,162551.0,261821.0,0.000138,0.000223,0.184,0.2973,1.0,1.0,21.55,8.82,6
RGI60-06.00003,2011-01-01_2012-01-01,751000.0,0.0127,3.2442,9512.0,2436370.0,8e-06,0.002071,0.0108,2.7575,1.0,1.0,1.99,1.0,6
RGI60-06.00003,2012-01-01_2013-01-01,751000.0,0.0612,3.2248,45929.0,2421844.0,3.9e-05,0.002059,0.052,2.7411,1.0,1.0,2.96,1.0,6
RGI60-06.00003,2012-01-01_2014-01-01,751000.0,0.0875,1.6186,65709.0,1215556.0,5.6e-05,0.001033,0.0744,1.3758,1.0,1.0,3.96,2.0,6
RGI60-06.00003,2012-01-01_2016-01-01,751000.0,0.1858,0.8078,139521.0,606885.0,0.000119,0.000516,0.1579,0.6872,1.0,1.0,8.11,4.0,6
RGI60-06.00003,2013-01-01_2014-01-01,751000.0,0.1138,3.2302,85490.0,2425884.0,7.3e-05,0.002062,0.0968,2.7457,1.0,1.0,1.0,1.0,6
RGI60-06.00003,2014-01-01_2015-01-01,751000.0,0.307,3.2127,230580.0,2412907.0,0.000196,0.002051,0.261,2.7312,1.0,1.0,1.93,1.0,6
RGI60-06.00003,2014-01-01_2016-01-01,751000.0,0.2841,1.6183,213332.0,1215612.0,0.000181,0.001033,0.2415,1.3762,1.0,1.0,4.14,2.0,6
RGI60-06.00003,2015-01-01_2016-01-01,751000.0,0.2611,3.2069,196084.0,2408506.0,0.000167,0.002047,0.2219,2.7262,1.0,1.0,2.21,1.0,6
RGI60-06.00003,2015-01-01_2020-01-01,751000.0,0.3805,0.6706,285727.0,504654.0,0.000243,0.000429,0.3234,0.5728,1.0,1.0,12.7,4.0,6
RGI60-06.00003,2016-01-01_2017-01-01,751000.0,0.1688,3.2291,126771.0,2425096.0,0.000108,0.002061,0.1435,2.7448,1.0,1.0,5.38,1.0,6
RGI60-06.00003,2016-01-01_2018-01-01,751000.0,0.2808,1.6702,210900.0,1254567.0,0.000179,0.001066,0.2387,1.4203,1.0,1.0,8.32,2.0,6
RGI60-06.00003,2016-01-01_2020-01-01,751000.0,0.4103,0.844,308138.0,634798.0,0.000262,0.00054,0.3488,0.72,1.0,1.0,10.49,3.0,6
RGI60-06.00003,2017-01-01_2018-01-01,751000.0,0.3928,3.3387,295029.0,2507582.0,0.000251,0.002132,0.3339,2.8385,1.0,1.0,2.93,1.0,6
RGI60-06.00003,2018-01-01_2019-01-01,751000.0,0.4774,3.3658,358497.0,2528009.0,0.000305,0.002149,0.4058,2.8618,1.0,1.0,0.0,0.0,6
RGI60-06.00003,2018-01-01_2020-01-01,751000.0,0.5398,1.7405,405376.0,1307933.0,0.000345,0.001112,0.4588,1.4816,1.0,1.0,2.17,1.0,6
RGI60-06.00003,2019-01-01_2020-01-01,751000.0,0.6022,3.4011,452256.0,2554761.0,0.000384,0.002172,0.5119,2.8923,1.0,1.0,2.17,1.0,6
RGI60-06.00004,2000-01-01_2001-01-01,67000.0,-0.4515,5.3044,-30249.0,355479.0,-2.6e-05,0.000302,-0.3838,4.511,1.0,1.0,0.0,0.0,6
RGI60-06.00004,2000-01-01_2002-01-01,67000.0,-0.4452,2.608,-29826.0,174908.0,-2.5e-05,0.000149,-0.3784,2.2213,1.0,1.0,1.0,1.0,6
RGI60-06.00004,2000-01-01_2004-01-01,67000.0,-0.4653,1.2895,-31177.0,86777.0,-2.7e-05,7.4e-05,-0.3955,1.1061,1.0,1.0,6.25,3.0,6
RGI60-06.00004,2000-01-01_2005-01-01,67000.0,-0.3915,1.0316,-26231.0,69458.0,-2.2e-05,5.9e-05,-0.3328,0.8858,1.0,1.0,7.12,3.88,6
RGI60-06.00004,2000-01-01_2010-01-01,67000.0,-0.1987,0.5128,-13313.0,34533.0,-1.1e-05,2.9e-05,-0.1689,0.4405,1.0,1.0,11.25,7.25,6
RGI60-06.00004,2000-01-01_2020-01-01,67000.0,0.0952,0.2741,6379.0,18438.0,5e-06,1.6e-05,0.0809,0.2349,1.0,1.0,33.12,16.12,6
RGI60-06.00004,2001-01-01_2002-01-01,67000.0,-0.4389,4.95,-29403.0,331737.0,-2.5e-05,0.000282,-0.373,4.2098,1.0,1.0,1.0,1.0,6
RGI60-06.00004,2002-01-01_2003-01-01,67000.0,-0.5319,4.8156,-35635.0,322781.0,-3e-05,0.000274,-0.4521,4.0968,1.0,1.0,3.0,1.0,6
RGI60-06.00004,2002-01-01_2004-01-01,67000.0,-0.4855,2.3964,-32529.0,160781.0,-2.8e-05,0.000137,-0.4127,2.0428,1.0,1.0,5.25,2.0,6
RGI60-06.00004,2003-01-01_2004-01-01,67000.0,-0.4391,4.7527,-29423.0,318526.0,-2.5e-05,0.000271,-0.3733,4.0423,1.0,1.0,2.25,1.0,6
RGI60-06.00004,2004-01-01_2005-01-01,67000.0,-0.0962,4.7299,-6447.0,316906.0,-5e-06,0.000269,-0.0818,4.0205,1.0,1.0,0.88,0.88,6
RGI60-06.00004,2004-01-01_2006-01-01,67000.0,-0.0242,2.3789,-1622.0,159384.0,-1e-06,0.000135,-0.0206,2.022,1.0,1.0,1.88,1.88,6
RGI60-06.00004,2004-01-01_2008-01-01,67000.0,0.0261,1.2021,1752.0,80542.0,1e-06,6.8e-05,0.0222,1.0218,1.0,1.0,3.88,3.12,6
RGI60-06.00004,2005-01-01_2006-01-01,67000.0,0.0478,4.758,3203.0,318789.0,3e-06,0.000271,0.0406,4.0444,1.0,1.0,1.0,1.0,6
RGI60-06.00004,2005-01-01_2010-01-01,67000.0,-0.0059,0.9395,-394.0,62944.0,-0.0,5.4e-05,-0.005,0.7985,1.0,1.0,4.12,3.38,6
RGI60-06.00004,2006-01-01_2007-01-01,67000.0,0.1754,4.7394,11752.0,317552.0,1e-05,0.00027,0.1491,4.0288,1.0,1.0,0.38,0.25,6
RGI60-06.00004,2006-01-01_2008-01-01,67000.0,0.0765,2.418,5126.0,162015.0,4e-06,0.000138,0.065,2.0555,1.0,1.0,2.0,1.25,6
RGI60-06.00004,2007-01-01_2008-01-01,67000.0,-0.0224,4.7902,-1500.0,320945.0,-1e-06,0.000273,-0.019,4.0717,1.0,1.0,1.62,1.0,6
